,s_id,Station_name,Street,Neighbourhood,Area_loc,s_lat,s_lon,s_num_docks,Size_bucket
515,200138,"Heron Quays DLR, Canary Wharf",Heron Quays DLR,Canary Wharf,East,51.502661,-0.021596,27,100
516,200203,"King Edward Street, St Pauls",King Edward Street,St Pauls,East,51.51601,-0.0985,20,100
517,200048,"Page Street, Westminster",Page Street,Westminster,South_West,51.493978,-0.127554,24,100
518,200111,"Abbotsbury Road, Holland Park",Abbotsbury Road,Holland Park,West,51.501391,-0.205991,24,100
519,200015,"Ladbroke Grove Central, Ladbroke Grove",Ladbroke Grove Central,Ladbroke Grove,West,51.511624,-0.205921,21,100
520,200037,"Rectory Square, Stepney",Rectory Square,Stepney,East,51.518369,-0.043371,21,100
521,200074,"Bury Place, Holborn",Bury Place,Holborn,Central,51.51746,-0.12335,19,100
522,200232,"Preston's Road, Cubitt Town",Preston's Road,Cubitt Town,East,51.499286,-0.009152,26,100
523,200068,"Somerset House, Strand",Somerset House,Strand,Central,51.509943,-0.117619,40,150
524,200135,"Selby Street, Whitechapel",Selby Street,Whitechapel,East,51.521905,-0.063386,16,100
525,200141,"Westfield Ariel Way, White City",Westfield Ariel Way,White City,West,51.509158,-0.224103,40,150
526,200110,"Bishop's Bridge Road West, Bayswater",Bishop's Bridge Road West,Bayswater,West,51.51616,-0.18697,15,50
527,200248,"Pitfield Street Central, Hoxton",Pitfield Street Central,Hoxton,North,51.53213,-0.08299,29,100
528,200099,"Upper Bank Street, Canary Wharf",Upper Bank Street,Canary Wharf,East,51.503083,-0.017676,36,150
529,200061,"Westfield Southern Terrace ,Shepherd's Bush","Westfield Southern Terrace ,Shepherd's Bush",,West,51.506256,-0.218337,28,100
530,200026,"Greenland Road, Camden Town",Greenland Road,Camden Town,North,51.539099,-0.141728,36,150
531,200001,"Limerston Street, West Chelsea",Limerston Street,West Chelsea,South_West,51.485587,-0.18119,14,50
532,200246,"Eagle Wharf Road, Hoxton",Eagle Wharf Road,Hoxton,North,51.53356,-0.09315,44,150
533,200109,"Alpha Grove, Millwall",Alpha Grove,Millwall,East,51.497304,-0.022793,22,100
534,200247,"Globe Town Market, Bethnal Green",Globe Town Market,Bethnal Green,North,51.528869,-0.047548,20,100
535,200244,"Hollybush Gardens, Bethnal Green",Hollybush Gardens,Bethnal Green,North,51.527607,-0.057133,32,150
536,200128,"Queen Street 2, Bank",Queen Street 2,Bank,East,51.511246,-0.093051,35,150
537,200084,"Doddington Grove, Kennington",Doddington Grove,Kennington,South_West,51.486929,-0.102996,35,150
538,200005,"New Cavendish Street, Marylebone",New Cavendish Street,Marylebone,Central,51.519167,-0.147983,17,100
539,200231,"Abingdon Green, Westminster",Abingdon Green,Westminster,South_West,51.49764,-0.125972,20,100
540,200086,"Ilchester Gardens, Bayswater",Ilchester Gardens,Bayswater,West,51.51244,-0.19096,20,100
541,200092,"Mudchute DLR, Cubitt Town",Mudchute DLR,Cubitt Town,East,51.490645,-0.014582,30,100
542,200101,"Monument Street, Monument",Monument Street,Monument,East,51.50964,-0.08497,22,100
543,200071,"Hoxton Street, Hoxton",Hoxton Street,Hoxton,North,51.52959,-0.0801,27,100
544,200060,"Drayton Gardens, West Chelsea",Drayton Gardens,West Chelsea,South_West,51.487196,-0.179369,15,50
545,200236,"Greenberry Street, St.John's Wood",Greenberry Street,St.John's Wood,North,51.53256,-0.16862,26,100
